	Kmer_AAA	Kmer_AAC	Kmer_AAG	Kmer_AAT	Kmer_ACA	Kmer_ACC	Kmer_ACG	Kmer_ACT	Kmer_AGA	Kmer_AGC	Kmer_AGG	Kmer_AGT	Kmer_ATA	Kmer_ATC	Kmer_ATG	Kmer_ATT	Kmer_CAA	Kmer_CAC	Kmer_CAG	Kmer_CAT	Kmer_CCA	Kmer_CCC	Kmer_CCG	Kmer_CCT	Kmer_CGA	Kmer_CGC	Kmer_CGG	Kmer_CGT	Kmer_CTA	Kmer_CTC	Kmer_CTG	Kmer_CTT	Kmer_GAA	Kmer_GAC	Kmer_GAG	Kmer_GAT	Kmer_GCA	Kmer_GCC	Kmer_GCG	Kmer_GCT	Kmer_GGA	Kmer_GGC	Kmer_GGG	Kmer_GGT	Kmer_GTA	Kmer_GTC	Kmer_GTG	Kmer_GTT	Kmer_TAA	Kmer_TAC	Kmer_TAG	Kmer_TAT	Kmer_TCA	Kmer_TCC	Kmer_TCG	Kmer_TCT	Kmer_TGA	Kmer_TGC	Kmer_TGG	Kmer_TGT	Kmer_TTA	Kmer_TTC	Kmer_TTG	Kmer_TTT
AT1G22840.1_532	0.04040404040404041	0.010101010101010102	0	0.050505050505050504	0	0	0.010101010101010102	0.020202020202020204	0.010101010101010102	0	0.010101010101010102	0	0.020202020202020204	0.030303030303030304	0.010101010101010102	0.030303030303030304	0.030303030303030304	0	0	0.010101010101010102	0.010101010101010102	0	0	0	0	0	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.050505050505050504	0.010101010101010102	0	0.010101010101010102	0.010101010101010102	0	0.010101010101010102	0	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.020202020202020204	0	0.030303030303030304	0.030303030303030304	0	0	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.030303030303030304	0.020202020202020204	0.030303030303030304	0.020202020202020204	0.050505050505050504	0.1414141414141414
AT1G44000.1_976	0.020202020202020204	0	0.020202020202020204	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.010101010101010102	0	0.020202020202020204	0	0	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.04040404040404041	0.020202020202020204	0	0	0.030303030303030304	0.010101010101010102	0	0	0.020202020202020204	0.010101010101010102	0	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.030303030303030304	0	0.020202020202020204	0.010101010101010102	0.030303030303030304	0.010101010101010102	0	0	0	0	0	0	0	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.030303030303030304	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.020202020202020204	0	0.020202020202020204	0.010101010101010102	0.06060606060606061	0.020202020202020204	0.010101010101010102	0	0.050505050505050504	0.020202020202020204	0.06060606060606061	0.020202020202020204	0.10101010101010101
AT1G09770.1_2698	0.030303030303030304	0.010101010101010102	0.04040404040404041	0	0.020202020202020204	0	0.010101010101010102	0.030303030303030304	0.030303030303030304	0.04040404040404041	0.030303030303030304	0.020202020202020204	0.030303030303030304	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0	0	0.04040404040404041	0.020202020202020204	0	0	0	0	0	0	0.010101010101010102	0	0	0.020202020202020204	0.050505050505050504	0.020202020202020204	0.030303030303030304	0.050505050505050504	0	0.010101010101010102	0.020202020202020204	0	0.030303030303030304	0.050505050505050504	0	0	0	0.020202020202020204	0	0	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.030303030303030304	0.010101010101010102	0	0	0	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.050505050505050504	0.050505050505050504
AT1G09645.1_586	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.010101010101010102	0	0.010101010101010102	0.030303030303030304	0	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.050505050505050504	0.010101010101010102	0.030303030303030304	0.020202020202020204	0.010101010101010102	0.010101010101010102	0	0.030303030303030304	0	0	0	0.010101010101010102	0	0.010101010101010102	0	0.010101010101010102	0	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.020202020202020204	0	0.010101010101010102	0	0.020202020202020204	0.010101010101010102	0	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.04040404040404041	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.0707070707070707	0.020202020202020204	0	0.010101010101010102	0.010101010101010102	0.020202020202020204	0	0.020202020202020204	0.06060606060606061	0.030303030303030304	0.010101010101010102	0.04040404040404041	0.06060606060606061
AT1G22850.1_1097	0.050505050505050504	0.020202020202020204	0.04040404040404041	0.010101010101010102	0.010101010101010102	0	0.010101010101010102	0.010101010101010102	0.04040404040404041	0.020202020202020204	0.030303030303030304	0.010101010101010102	0.030303030303030304	0	0.06060606060606061	0.030303030303030304	0.020202020202020204	0	0.010101010101010102	0	0.010101010101010102	0	0	0	0.010101010101010102	0.010101010101010102	0	0	0.020202020202020204	0.020202020202020204	0	0	0.020202020202020204	0.010101010101010102	0.030303030303030304	0.08080808080808081	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.04040404040404041	0	0	0.010101010101010102	0.020202020202020204	0	0	0.010101010101010102	0.030303030303030304	0	0.020202020202020204	0.020202020202020204	0	0	0	0.020202020202020204	0.050505050505050504	0.020202020202020204	0.020202020202020204	0.010101010101010102	0	0	0.04040404040404041	0.030303030303030304
AT1G74960.2_2112	0.050505050505050504	0.010101010101010102	0.04040404040404041	0	0.010101010101010102	0	0.010101010101010102	0.010101010101010102	0.050505050505050504	0.04040404040404041	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.020202020202020204	0	0.020202020202020204	0.010101010101010102	0.020202020202020204	0	0	0	0	0.010101010101010102	0	0.010101010101010102	0.04040404040404041	0	0.010101010101010102	0.020202020202020204	0	0.020202020202020204	0.050505050505050504	0.050505050505050504	0	0.020202020202020204	0	0.04040404040404041	0.04040404040404041	0	0	0	0	0	0.010101010101010102	0.020202020202020204	0.04040404040404041	0	0.020202020202020204	0.010101010101010102	0.020202020202020204	0	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.020202020202020204	0	0.020202020202020204	0.020202020202020204	0.020202020202020204	0.020202020202020204
AT1G77440.1_812	0.010101010101010102	0.020202020202020204	0.010101010101010102	0	0	0	0	0.020202020202020204	0.020202020202020204	0.010101010101010102	0	0.010101010101010102	0.030303030303030304	0	0.030303030303030304	0.030303030303030304	0	0	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0	0	0.020202020202020204	0.020202020202020204	0.020202020202020204	0.050505050505050504	0.020202020202020204	0.010101010101010102	0.020202020202020204	0	0.010101010101010102	0.030303030303030304	0	0	0	0.020202020202020204	0.020202020202020204	0	0	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.050505050505050504	0.010101010101010102	0	0.030303030303030304	0.050505050505050504	0	0.020202020202020204	0.030303030303030304	0.050505050505050504	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.04040404040404041	0.020202020202020204	0.04040404040404041	0.030303030303030304	0.030303030303030304
AT1G43900.1_1137	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.020202020202020204	0.010101010101010102	0	0.020202020202020204	0.020202020202020204	0.020202020202020204	0.04040404040404041	0.030303030303030304	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.020202020202020204	0	0	0	0.030303030303030304	0	0	0	0.010101010101010102	0	0.010101010101010102	0.04040404040404041	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.010101010101010102	0.020202020202020204	0	0.010101010101010102	0.010101010101010102	0	0	0	0.010101010101010102	0.020202020202020204	0	0	0.050505050505050504	0	0.020202020202020204	0	0.030303030303030304	0.030303030303030304	0	0.010101010101010102	0.04040404040404041	0.030303030303030304	0.010101010101010102	0	0.06060606060606061	0	0.06060606060606061	0.0707070707070707	0.010101010101010102
AT1G13320.1_1869	0.0707070707070707	0.020202020202020204	0.030303030303030304	0.030303030303030304	0.020202020202020204	0	0.020202020202020204	0.010101010101010102	0.030303030303030304	0.020202020202020204	0.010101010101010102	0	0.010101010101010102	0.010101010101010102	0.04040404040404041	0.030303030303030304	0.030303030303030304	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0	0	0	0.020202020202020204	0	0	0	0.030303030303030304	0.010101010101010102	0	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.04040404040404041	0.010101010101010102	0	0	0.010101010101010102	0	0	0	0.020202020202020204	0.020202020202020204	0.010101010101010102	0.020202020202020204	0.020202020202020204	0.030303030303030304	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.010101010101010102	0	0.030303030303030304	0.04040404040404041	0	0.010101010101010102	0.050505050505050504	0	0.010101010101010102	0.050505050505050504	0.04040404040404041
AT1G76010.1_1331	0	0	0.030303030303030304	0	0.010101010101010102	0	0	0.020202020202020204	0.020202020202020204	0	0	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.020202020202020204	0.010101010101010102	0.010101010101010102	0.010101010101010102	0	0.04040404040404041	0.020202020202020204	0.020202020202020204	0	0.010101010101010102	0	0	0	0	0.020202020202020204	0.030303030303030304	0.010101010101010102	0.0707070707070707	0.010101010101010102	0.010101010101010102	0	0	0	0.010101010101010102	0	0.010101010101010102	0	0	0	0	0.010101010101010102	0.010101010101010102	0.010101010101010102	0.030303030303030304	0.010101010101010102	0.010101010101010102	0	0.030303030303030304	0.030303030303030304	0.030303030303030304	0	0.08080808080808081	0	0.020202020202020204	0	0.050505050505050504	0.010101010101010102	0.0707070707070707	0.030303030303030304	0.12121212121212122
